;doc_title;entry_type_num;reg_sent;sim_sent;ter;reg_label_count;sim_label_count;reg_labels;sim_labels;pov_change;verb_tense_change;passive_active_sub;reg_prox_used;sim_prox_used;simple_synonym;word2phrase;phrase2word;phrase2phrase;source_used;target_used;deleting_info;removal;summarization;percent_deleted_unused;token_length_ratio;is_adding;examples;explanations;percent_added_unused;pron_explicitation;number_moved_words_ooo;num_svo_ooo;sentence_split;nbchars_ratio;reg_nbchars;sim_nbchars;levsim;wordrank_ratio;reg_wordrank;sim_wordrank;deptree_depth_ratio;deptree_type;reg_depth;sim_depth
0;Andy arias voting;1.0;Hi, everybody.;Hi, everybody.;0.0;{'C': 4};{'C': 4};['C', 'C', 'C', 'C'];['C', 'C', 'C', 'C'];0;0;0;[];[];0;0;0;0;[];[];0;0;0;0.0;1.0;0;0;0;0.0;;[];0.0;0;1.0;13;13;0.0;1.0;-10.084525346725;-10.084525346725;1.0;1;[1];[1]
1;Andy arias voting;1.0;This is actor advocate Andy Arias.;This is Andy Arias, I am an actor and advocate.;1.0;{'C': 3, 'M': 4};{'C': 7, 'A': 5};['C', 'C', 'M', 'M', 'M', 'M', 'C'];['C', 'C', 'C', 'C', 'A', 'A', 'A', 'A', 'C', 'A', 'C', 'C'];-1;0;0;[];[];2;0;0;0;[2, 3];[];0;0;0;0.0;0.5833333333333334;1;0;0;0.3333333333333333;0.0;[Andy, Arias];0.0;0;0.7631578947368421;29;38;26.0;0.9568871397677621;-11.686098575599999;-11.182277441050001;1.0;1;[3];[3]
2;Andy arias voting;1.0;Happy ADA 30.;So happy to celebrate with you 30 years since the Americans with Disabilities Act (the ADA) became a law.;5.0;{'C': 2, 'M': 2};{'A': 18, 'C': 4};['C', 'M', 'M', 'C'];['A', 'C', 'A', 'A', 'A', 'A', 'C', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'C', 'A', 'A', 'A', 'A', 'C'];-1;0;0;[];[];1;0;0;0;[2];[];0;0;0;0.0;0.18181818181818182;1;0;1;0.5909090909090909;;[30];0.0;0;0.12643678160919541;11;87;94.0;0.830780907408018;-11.558086633675;-9.602237701425;0.16666666666666666;1;[1];[6]
3;Andy arias voting;1.0;I want to take a quick second to give a shout out to disabilityunite.org.;I want to say thank you to disabilityunite.org.;0.6;{'C': 6, 'R': 1, 'D': 8};{'C': 7, 'A': 2};['C', 'C', 'C', 'R', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'C', 'C', 'C'];['C', 'C', 'C', 'C', 'A', 'A', 'C', 'C', 'C'];-1;0;0;[];[];3;0;0;0;[6, 8, 10];[];1;0;0;0.6;1.6666666666666667;1;0;0;0.2222222222222222;;[to];0.0;0;1.5;60;40;33.0;0.8708234496392384;-7.9815030098;-6.9504799843;1.0;1;[4];[4]
4;Andy arias voting;1.0;Thank you for putting on such an amazing event.;Thank you for this amazing event.;0.4;{'C': 6, 'D': 4};{'C': 6, 'A': 1};['C', 'C', 'C', 'D', 'D', 'D', 'D', 'C', 'C', 'C'];['C', 'C', 'C', 'A', 'C', 'C', 'C'];0;0;0;[];[];1;0;0;0;[3];[];1;0;0;0.4;1.4285714285714286;0;0;0;0.0;;[];0.0;0;1.3928571428571428;39;28;15.0;0.9933678414144146;-8.605655193325;-8.54858112335;1.3333333333333333;1;[4];[3]
5;Andy arias voting;1.0;Thank you to Corey and Elizabeth for inviting me to do this.;Thank you to Corey and Elizabeth for inviting me to talk to you.;0.2307692307692308;{'C': 11, 'R': 1, 'D': 1};{'C': 12, 'A': 2};['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'R', 'D', 'C'];['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'A', 'A', 'C'];-1;0;0;[];[];0;0;0;0;[];[];0;0;0;0.15384615384615385;0.9285714285714286;0;0;0;0.14285714285714285;0.0;[to];0.0;0;0.9423076923076923;49;52;9.0;1.0040420814051279;-8.4344329834;-8.468525648124999;0.8;1;[4];[5]
6;Andy arias voting;4.0;You guys, it is almost November. What does that mean? It is time to go out and vote.;You know, it is almost November. That means it is almost time to go vote.;0.4545454545454545;{'R': 2, 'D': 6, 'C': 14};{'C': 16, 'A': 2};['R', 'D', 'C', 'C', 'C', 'C', 'C', 'C', 'D', 'D', 'C', 'R', 'D', 'C', 'C', 'C', 'C', 'C', 'D', 'D', 'C', 'C'];['C', 'A', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'A', 'C', 'C', 'C', 'C', 'C'];0;1;0;[11];[9];5;0;0;0;[1, 5, 11, 17, 20];[];1;0;0;0.3181818181818182;1.2222222222222223;0;0;0;0.0;0.0;[it, is, .];1.0;1;1.1355932203389831;67;59;29.0;1.1062535940383038;-7.114059805849999;-7.869954228425;0.6666666666666666;2;[2, 1, 3];[2, 4]
7;Andy arias voting;1.0;Now, more than ever, your choices and your voices matter.;Now, more than ever, your choices (and your votes) can make a difference.;0.5384615384615384;{'C': 11, 'D': 2};{'C': 11, 'A': 7};['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'D', 'D', 'C'];['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'A', 'C', 'C', 'A', 'A', 'A', 'A', 'A', 'A', 'C'];0;0;0;[];[];2;0;0;0;[10, 11];[];0;0;0;0.15384615384615385;0.7222222222222222;1;0;1;0.2222222222222222;;[,, your];0.0;0;0.7868852459016393;48;61;21.0;0.8767584385038256;-8.3955154419;-7.360839009275;1.0;1;[3];[3]
8;Andy arias voting;1.0;So whether you are on the right or the left side, your voice needs to be heard in November.;No matter whom you want to vote for, it is important that you vote in November.;0.8095238095238095;{'D': 18, 'C': 3};{'A': 15, 'C': 3};['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'C', 'C', 'C'];['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'C', 'C', 'C'];-1;0;1;[16];[];3;0;0;0;[6, 10, 13];[];1;0;0;0.8095238095238095;1.1666666666666667;1;0;0;0.8333333333333334;0.0;[];;0;1.140625;73;64;56.0;1.031933544655772;-8.3277988434;-8.593734979650002;1.25;1;[5];[4]
9;Andy arias voting;1.0;Know where your polling place are.;You should know where you could go to vote.;1.1428571428571428;{'C': 3, 'R': 1, 'D': 3};{'A': 6, 'C': 4};['C', 'C', 'R', 'D', 'D', 'D', 'C'];['A', 'A', 'C', 'C', 'C', 'A', 'A', 'A', 'A', 'C'];0;0;0;[];[];2;0;0;0;[3, 4];[];1;0;0;0.5714285714285714;0.7;1;0;0;0.6;;[];0.0;0;0.8285714285714286;29;35;25.0;0.6860959397210415;-9.860558033;-6.765288829825;1.0;1;[3];[3]
