;doc_title;alignment;entry_type_num;reg_sent;sim_sent;ter;reg_label_count;sim_label_count;reg_labels;sim_labels;pov_change;verb_tense_change;passive_active_sub;reg_prox_used;sim_prox_used;simple_synonym;word2phrase;phrase2word;phrase2phrase;source_used;target_used;deleting_info;removal;summarization;percent_deleted_unused;token_length_ratio;is_adding;examples;explanations;percent_added_unused;pron_explicitation;number_moved_words_ooo;num_svo_ooo;sentence_split;nbchars_ratio;reg_nbchars;sim_nbchars;levsim;wordrank_ratio;reg_wordrank;sim_wordrank;deptree_depth_ratio;deptree_type;reg_depth;sim_depth
0;400_452985;(('400_452985-1-0-0',), ('400_452985-0-0-0', '400_452985-0-0-1'));2;Conwy Castle is a fortification in Conwy, located in North Wales.;Conwy Castle is a castle that was built in the Middle Ages. It is in Conwy, in the country of Wales.;1.1538461538461535;{'C': 8, 'R': 3, 'D': 2};{'C': 10, 'A': 14};['C', 'C', 'C', 'C', 'R', 'C', 'C', 'C', 'D', 'D', 'R', 'R', 'C'];['C', 'C', 'C', 'C', 'C', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'C', 'C', 'C', 'A', 'A', 'A', 'A', 'C', 'C'];-1;0;-1;[];[];2;0;0;0;[7, 8];[];1;0;0;0.3076923076923077;0.5416666666666666;1;0;0;0.5833333333333334;0.0;[Conwy];0.0;1;0.6875;55;80;56.0;0.8977414772391947;-12.7197589874;-11.419055223475;1.5555555555555556;3;[7];[5, 4]
1;400_452985;(('400_452985-1-0-1',), ('400_452985-0-0-2', '400_452985-0-0-3', '400_452985-0-0-4'));2;It was built by Edward I, during his conquest of Wales, between 1283 and 1289.;It was built by Edward I of England. He built it after he went to Wales and took over control of it, conquering it. He built it between the years of 1283 and 1289.;1.3888888888888888;{'C': 11, 'D': 7};{'C': 11, 'A': 27};['C', 'C', 'C', 'C', 'C', 'C', 'D', 'D', 'D', 'D', 'D', 'C', 'D', 'D', 'C', 'C', 'C', 'C'];['C', 'C', 'C', 'C', 'C', 'C', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'C', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'C', 'C', 'C', 'C'];-1;2;0;[2];[10, 28];1;0;0;0;[2];[];1;0;0;0.3888888888888889;0.47368421052631576;1;0;0;0.6578947368421053;0.0;[];0.0;1;0.49230769230769234;64;130;98.0;0.7431899713047131;-11.675249099725;-8.6769280434;0.8571428571428571;3;[4];[4, 5, 5]
2;400_452985;(('400_452985-1-0-2',), ('400_452985-0-0-6',));1;Constructed as part of a wider project to create the walled town of Conwy, the combined defences cost around £15,000, a huge sum for the period.;It cost £15,000 to build.;0.8666666666666667;{'D': 26, 'C': 4};{'A': 3, 'C': 4};['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'C', 'D', 'C', 'C', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'C'];['A', 'C', 'C', 'C', 'A', 'A', 'C'];-1;1;0;[18];[1];4;1;0;1;[0, 6, 7, 8, 16, 28];[];1;0;0;0.8333333333333334;4.285714285714286;1;0;0;0.2857142857142857;;[];0.0;0;5.666666666666667;119;21;123.0;0.9085755880416453;-10.721689224224999;-9.7414650917;4.5;1;[9];[2]
3;400_452985;(('400_452985-1-0-3',), ());5;Over the next few centuries, the castle played an important part in several wars.;"
";1.0;{'D': 16};{};['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'];[];0;0;0;[];[];0;0;0;0;[];[];0;1;0;0.0;0.0;0;0;0;0.0;0.0;[];0.0;0;;68;0;;0.0;-9.552076816525002;0.0;0.0;0;[3];[]
4;400_452985;(('400_452985-1-0-4',), ('400_452985-0-0-8',));1;It withstood the siege of Madog ap Llywelyn in the winter of 1294–95, acted as a temporary haven for Richard II in 1399 and was held for several months by forces loyal to Owain Glyndŵr in 1401.;Richard II of England hid there in 1399.;0.8974358974358975;{'D': 34, 'C': 5};{'C': 5, 'A': 4};['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'C', 'C', 'C', 'C', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'C'];['C', 'C', 'A', 'A', 'A', 'A', 'C', 'C', 'C'];1;0;1;[25];[];1;0;0;0;[14];[];1;0;0;0.8461538461538461;4.333333333333333;1;0;0;0.4444444444444444;0.0;[];0.0;0;4.787878787878788;158;33;164.0;0.9231142776817529;-12.5373411179;-11.5733985901;2.6666666666666665;1;[8];[3]
5;400_452985;(('400_452985-1-1-0',), ('400_452985-0-1-0',));1;Following the outbreak of the English Civil War in 1642, the castle was held by forces loyal to Charles I, holding out until 1646 when it surrendered to the Parliamentary armies.;After the English Civil War started in 1642, people who supported Charles I of England took over the castle.;0.7058823529411765;{'D': 22, 'C': 8, 'M': 4};{'A': 9, 'C': 12};['D', 'D', 'D', 'D', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'M', 'M', 'D', 'D', 'D', 'D', 'D', 'D', 'M', 'M', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'C'];['A', 'C', 'C', 'C', 'C', 'A', 'C', 'C', 'C', 'A', 'A', 'A', 'C', 'C', 'A', 'A', 'A', 'A', 'C', 'C', 'C'];1;0;1;[12, 13];[];5;0;0;0;[0, 14, 16, 22, 28];[];1;0;0;0.6176470588235294;1.619047619047619;1;0;0;0.3333333333333333;0.0;[the, castle];0.0;0;1.6444444444444444;148;90;113.0;0.8926295698784921;-11.902102231999999;-10.624168396;1.4;1;[7];[5]
6;400_452985;(('400_452985-1-1-1',), ('400_452985-0-1-3',));1;In the aftermath, the castle was partially slighted by Parliament to prevent it being used in any further revolt, and was finally completely ruined in 1665 when its remaining iron and lead was stripped and sold off.;By 1665 it was completely destroyed because people had taken all of the iron and lead from the castle and sold it.;0.8;{'R': 2, 'D': 28, 'M': 7, 'C': 3};{'C': 12, 'A': 11};['R', 'D', 'D', 'D', 'M', 'M', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'R', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'M', 'D', 'D', 'M', 'D', 'D', 'D', 'M', 'M', 'M', 'D', 'D', 'C', 'C', 'D', 'C'];['C', 'C', 'A', 'A', 'C', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'A', 'C'];0;1;1;[5, 6, 13, 14, 22, 31, 34, 37];[20];7;0;0;0;[12, 15, 18, 25, 30, 33, 37];[];1;0;0;0.6;1.7391304347826086;1;0;0;0.43478260869565216;0.0;[the, castle, 1665, and];;0;1.924731182795699;179;93;150.0;0.8843233320922937;-10.796987533574999;-9.548027992249999;1.0;1;[5];[5]
7;400_452985;(('400_452985-1-1-2',), ('400_452985-0-1-4',));1;Conwy Castle became an attractive destination for painters in the late 18th and early 19th centuries.;Artists started making paintings of the castle in the 18th and 19th centuries.;0.5882352941176471;{'R': 1, 'C': 8, 'D': 8};{'C': 9, 'A': 5};['R', 'C', 'D', 'D', 'D', 'D', 'D', 'D', 'C', 'C', 'D', 'C', 'C', 'D', 'C', 'C', 'C'];['C', 'A', 'A', 'A', 'A', 'A', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'];0;0;0;[];[];5;0;0;0;[2, 7, 11, 14, 15];[];1;0;0;0.35294117647058826;1.2142857142857142;1;0;0;0.35714285714285715;;[];0.0;0;1.303030303030303;86;66;54.0;0.9930572995437601;-12.2506351471;-12.165582656875001;1.0;1;[5];[5]
8;400_452985;(('400_452985-1-1-3',), ());5;Visitor numbers grew and initial restoration work was carried out in the second half of the 19th century.;"
";1.0;{'D': 19};{};['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'];[];0;0;1;[6, 7];[];0;0;0;0;[];[];0;1;0;0.0;0.0;0;0;0;0.0;0.0;[];0.0;0;;88;0;;0.0;-10.6359667778;0.0;0.0;0;[6];[]
9;400_452985;(('400_452985-1-1-4',), ());5;In the 21st century, the ruined castle is managed by Cadw as a tourist attraction.;"
";1.0;{'D': 17};{};['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'];[];0;0;1;[7, 8];[];0;0;0;0;[];[];0;1;0;0.0;0.0;0;0;0;0.0;0.0;[];0.0;0;;68;0;;0.0;-11.5962705612;0.0;0.0;0;[3];[]
