;Unnamed: 0;entry_type_num;PROX;REPHRASE;DEL;ADD;EXAMPLE;EXPLAIN;EXPLICIT;REORDER;SPLIT
0;0;2;0;1;0;1;0;0;0;1;1
1;1;2;0;1;1;0;0;0;0;0;1
2;2;4;0;1;1;0;0;0;0;1;1
3;3;1;1;1;1;0;0;0;1;0;0
4;4;5;0;0;1;0;0;0;0;0;0
5;5;3;0;1;1;0;0;0;0;0;0
6;6;5;0;0;1;0;0;0;0;0;0
7;7;5;0;0;1;0;0;0;0;0;0
8;8;1;0;1;1;0;0;0;1;1;0
9;9;1;1;1;1;0;0;0;0;1;0
10;10;5;0;0;1;0;0;0;0;0;0
11;11;5;0;0;1;0;0;0;0;0;0
12;12;5;0;0;1;0;0;0;0;0;0
13;13;1;1;1;1;0;0;0;0;0;0
14;14;5;0;0;1;0;0;0;0;0;0
15;15;5;0;0;1;0;0;0;0;0;0
16;16;5;0;0;1;0;0;0;0;0;0
17;17;5;0;0;1;0;0;0;0;0;0
18;18;5;0;0;1;0;0;0;0;0;0
19;19;5;0;0;1;0;0;0;0;0;0
20;20;5;0;0;1;0;0;0;0;0;0
21;21;1;0;1;0;1;0;0;0;0;0
22;22;2;1;1;0;1;0;0;0;0;1
23;23;1;0;1;1;0;0;0;0;1;0
24;24;2;1;1;0;1;0;0;0;1;1
25;25;1;0;1;1;0;0;0;0;0;0
26;26;1;0;1;0;1;0;0;0;0;0
27;27;2;0;1;0;1;0;0;1;0;1
28;28;1;1;1;1;0;0;0;0;1;0
29;29;1;0;1;1;0;0;0;0;0;0
30;30;5;0;0;1;0;0;0;0;0;0
31;31;1;0;1;0;1;0;0;0;0;0
32;32;2;0;1;1;0;0;0;0;1;1
33;33;1;0;1;0;0;0;0;0;0;0
34;34;2;0;1;0;1;0;0;1;0;1
35;35;5;0;0;1;0;0;0;0;0;0
36;36;5;0;0;1;0;0;0;0;0;0
37;37;5;0;0;1;0;0;0;0;0;0
38;38;5;0;0;1;0;0;0;0;0;0
39;39;5;0;0;1;0;0;0;0;0;0
40;40;5;0;0;1;0;0;0;0;0;0
41;41;5;0;0;1;0;0;0;0;0;0
42;42;5;0;0;1;0;0;0;0;0;0
43;43;5;0;0;1;0;0;0;0;0;0
44;44;5;0;0;1;0;0;0;0;0;0
45;45;5;0;0;1;0;0;0;0;0;0
46;46;5;0;0;1;0;0;0;0;0;0
47;47;1;0;1;1;0;0;0;0;0;0
48;48;1;0;0;0;0;0;0;0;0;0
49;49;1;1;1;0;0;0;0;0;0;0
50;50;1;1;1;0;1;0;0;1;0;0
51;51;1;0;0;0;0;0;0;0;0;0
52;52;1;0;0;1;0;0;0;0;0;0
53;53;1;0;1;0;1;0;0;0;0;0
54;54;6;0;0;0;1;0;0;0;0;0
55;55;6;0;0;0;1;0;0;0;0;0
56;56;6;0;0;0;1;0;0;0;0;0
57;57;6;0;0;0;1;0;0;0;0;0
58;58;6;0;0;0;1;0;0;0;0;0
59;59;5;0;0;1;0;0;0;0;0;0
60;60;5;0;0;1;0;0;0;0;0;0
61;61;1;1;1;1;0;0;0;0;0;0
62;62;1;0;1;1;0;0;0;0;1;0
63;63;5;0;0;1;0;0;0;0;0;0
64;64;1;1;1;1;0;0;0;0;1;0
65;65;5;0;0;1;0;0;0;0;0;0
66;66;2;0;1;1;0;0;0;1;1;1
67;67;5;0;0;1;0;0;0;0;0;0
68;68;1;0;1;0;1;0;0;0;0;0
69;69;2;1;1;1;0;0;0;0;0;1
70;70;2;0;1;1;0;0;0;0;1;1
71;71;5;0;0;1;0;0;0;0;0;0
72;72;1;0;1;0;0;0;0;1;0;0
73;73;1;0;1;0;0;0;0;0;0;0
74;74;1;0;0;0;0;0;0;0;0;0
75;75;1;0;1;0;1;0;0;1;0;0
76;76;1;0;1;0;1;0;0;0;0;0
77;77;2;0;1;0;1;0;0;0;0;1
78;78;1;1;0;1;0;0;0;0;0;0
79;79;1;0;0;0;1;0;0;0;0;0
80;80;5;0;0;1;0;0;0;0;0;0
81;81;5;0;0;1;0;0;0;0;0;0
82;82;1;1;1;1;0;0;0;1;0;0
