;Unnamed: 0;entry_type_num;PROX;REPHRASE;DEL;ADD;EXAMPLE;EXPLAIN;EXPLICIT;REORDER;SPLIT
0;0;2;0;1;0;1;0;0;0;1;1
1;1;2;1;1;0;1;0;0;0;0;1
2;2;1;0;1;1;0;0;0;0;0;0
3;3;5;0;0;1;0;0;0;0;0;0
4;4;1;1;1;1;0;0;0;0;0;0
5;5;1;1;1;1;0;0;0;0;1;0
6;6;1;1;1;1;0;0;0;0;0;0
7;7;1;0;1;1;0;0;0;0;0;0
8;8;5;0;0;1;0;0;0;0;0;0
9;9;5;0;0;1;0;0;0;0;0;0
10;10;2;0;1;0;1;0;0;1;1;1
11;11;4;0;1;1;0;0;0;1;1;1
12;12;5;0;0;1;0;0;0;0;0;0
13;13;5;0;0;1;0;0;0;0;0;0
14;14;1;0;1;1;0;0;0;0;0;0
15;15;1;0;1;1;0;0;0;0;1;0
16;16;1;0;1;1;0;0;0;0;1;0
17;17;2;0;1;1;0;0;0;1;1;1
18;18;2;0;1;0;1;0;0;1;1;1
19;19;2;1;1;1;0;0;0;0;1;1
20;20;5;0;0;1;0;0;0;0;0;0
21;21;5;0;0;1;0;0;0;0;0;0
22;22;1;0;1;1;0;0;0;0;1;0
23;23;4;0;1;1;0;0;0;1;1;1
24;24;1;0;1;0;0;0;0;0;1;0
25;25;1;0;0;1;0;0;0;0;0;0
26;26;1;1;1;1;0;0;0;0;0;0
27;27;1;0;1;1;0;0;0;0;1;0
28;28;2;0;1;1;0;0;0;0;1;1
29;29;1;0;1;0;1;0;0;0;0;0
30;30;5;0;0;1;0;0;0;0;0;0
31;31;5;0;0;1;0;0;0;0;0;0
32;32;1;0;1;1;0;0;0;0;0;0
33;33;1;1;1;1;0;0;0;0;0;0
34;34;1;0;1;1;0;0;0;0;1;0
35;35;5;0;0;1;0;0;0;0;0;0
36;36;5;0;0;1;0;0;0;0;0;0
37;37;1;1;1;1;0;0;0;0;1;0
38;38;1;0;1;1;0;0;0;0;1;0
39;39;1;1;1;1;0;0;0;0;0;0
40;40;1;1;1;1;0;0;0;0;1;0
41;41;2;0;1;1;0;0;0;1;0;1
42;42;1;0;1;1;0;0;0;0;1;0
43;43;1;0;1;1;0;0;0;0;1;0
44;44;2;0;1;0;1;0;0;0;0;1
45;45;1;0;1;1;0;0;0;0;0;0
46;46;5;0;0;1;0;0;0;0;0;0
47;47;5;0;0;1;0;0;0;0;0;0
48;48;2;0;1;1;0;0;0;1;1;1
49;49;5;0;0;1;0;0;0;0;0;0
50;50;2;0;1;0;1;0;0;0;1;1
51;51;1;0;0;1;0;0;0;0;0;0
52;52;1;1;1;1;0;0;0;0;1;0
53;53;1;1;1;1;0;0;0;0;0;0
54;54;1;1;0;1;0;0;0;0;1;0
55;55;1;1;1;1;0;0;0;0;1;0
56;56;2;0;1;0;1;0;0;1;1;1
57;57;2;0;1;0;0;0;0;1;1;1
58;58;5;0;0;1;0;0;0;0;0;0
59;59;1;1;1;1;0;0;0;0;1;0
60;60;2;1;1;0;1;0;0;0;1;1
61;61;5;0;0;1;0;0;0;0;0;0
62;62;1;0;1;1;0;0;0;1;1;0
63;63;1;0;1;1;0;0;0;0;1;0
64;64;2;0;1;0;1;0;0;1;1;1
65;65;1;0;1;0;0;0;0;0;0;0
66;66;1;0;1;1;0;0;0;0;0;0
67;67;2;1;1;1;0;0;0;0;1;1
68;68;2;0;1;0;1;0;0;1;1;1
69;69;1;1;1;1;0;0;0;0;0;0
70;70;1;1;1;1;0;0;0;0;1;0
71;71;1;1;1;1;0;0;0;0;1;0
72;72;1;1;1;1;0;0;0;0;1;0
73;73;5;0;0;1;0;0;0;0;0;0
74;74;1;0;1;1;0;0;0;0;1;0
75;75;1;0;1;1;0;0;0;0;1;0
76;76;1;1;1;1;0;0;0;0;1;0
77;77;2;0;1;0;1;0;0;0;1;1
78;78;1;0;1;1;0;0;0;0;0;0
79;79;5;0;0;1;0;0;0;0;0;0
80;80;2;0;1;1;0;0;0;1;1;1
81;81;1;1;1;1;0;0;0;0;1;0
82;82;5;0;0;1;0;0;0;0;0;0
83;83;1;0;1;1;0;0;0;0;1;0
84;84;1;0;1;1;0;0;0;0;1;0
85;85;2;1;1;0;1;0;0;0;1;1
86;86;1;0;1;0;1;0;0;0;0;0
87;87;1;0;1;1;0;0;0;0;0;0
88;88;1;1;1;1;0;0;0;0;1;0
89;89;5;0;0;1;0;0;0;0;0;0
90;90;1;1;1;1;0;0;0;0;1;0
91;91;1;0;1;1;0;0;0;0;0;0
92;92;2;0;1;1;0;0;0;1;1;1
93;93;5;0;0;1;0;0;0;0;0;0
94;94;1;0;1;1;0;0;0;1;0;0
95;95;2;0;1;0;1;0;0;0;0;1
96;96;5;0;0;1;0;0;0;0;0;0
97;97;5;0;0;1;0;0;0;0;0;0
98;98;1;0;1;1;0;0;0;0;1;0
99;99;1;0;1;1;0;0;0;0;1;0
100;100;5;0;0;1;0;0;0;0;0;0
101;101;1;1;1;1;0;0;0;0;0;0
102;102;6;0;0;0;1;0;0;0;0;0
103;103;6;0;0;0;1;0;0;0;0;0
104;104;6;0;0;0;1;0;0;0;0;0
105;105;6;0;0;0;1;0;0;0;0;0
106;106;6;0;0;0;1;0;0;0;0;0
107;107;6;0;0;0;1;0;0;0;0;0
108;108;6;0;0;0;1;0;0;0;0;0
109;109;6;0;0;0;1;0;0;0;0;0
110;110;6;0;0;0;1;0;0;0;0;0
111;111;6;0;0;0;1;0;0;0;0;0
112;112;6;0;0;0;1;0;0;0;0;0
113;113;6;0;0;0;1;0;0;0;0;0
114;114;6;0;0;0;1;0;0;0;0;0
115;115;6;0;0;0;1;0;0;0;0;0
116;116;6;0;0;0;1;0;0;0;0;0
117;117;6;0;0;0;1;0;0;0;0;0
118;118;6;0;0;0;1;0;0;0;0;0
119;119;6;0;0;0;1;0;0;0;0;0
120;120;6;0;0;0;1;0;0;0;0;0
121;121;6;0;0;0;1;0;0;0;0;0
122;122;6;0;0;0;1;0;0;0;0;0
123;123;6;0;0;0;1;0;0;0;0;0
124;124;6;0;0;0;1;0;0;0;0;0
125;125;6;0;0;0;1;0;0;0;0;0
126;126;6;0;0;0;1;0;0;0;0;0
127;127;6;0;0;0;1;0;0;0;0;0
128;128;6;0;0;0;1;0;0;0;0;0
129;129;6;0;0;0;1;0;0;0;0;0
130;130;6;0;0;0;1;0;0;0;0;0
131;131;6;0;0;0;1;0;0;0;0;0
132;132;6;0;0;0;1;0;0;0;0;0
133;133;6;0;0;0;1;0;0;0;0;0
134;134;6;0;0;0;1;0;0;0;0;0
135;135;6;0;0;0;1;0;0;0;0;0
136;136;6;0;0;0;1;0;0;0;0;0
137;137;6;0;0;0;1;0;0;0;0;0
138;138;6;0;0;0;1;0;0;0;0;0
139;139;6;0;0;0;1;0;0;0;0;0
140;140;6;0;0;0;1;0;0;0;0;0
141;141;6;0;0;0;1;0;0;0;0;0
142;142;6;0;0;0;1;0;0;0;0;0
143;143;6;0;0;0;1;0;0;0;0;0
144;144;6;0;0;0;1;0;0;0;0;0
145;145;6;0;0;0;1;0;0;0;0;0
146;146;6;0;0;0;1;0;0;0;0;0
147;147;6;0;0;0;1;0;0;0;0;0
148;148;6;0;0;0;1;0;0;0;0;0
149;149;6;0;0;0;1;0;0;0;0;0
150;150;6;0;0;0;1;0;0;0;0;0
151;151;6;0;0;0;1;0;0;0;0;0
152;152;6;0;0;0;1;0;0;0;0;0
153;153;6;0;0;0;1;0;0;0;0;0
154;154;6;0;0;0;1;0;0;0;0;0
155;155;6;0;0;0;1;0;0;0;0;0
156;156;6;0;0;0;1;0;0;0;0;0
157;157;6;0;0;0;1;0;0;0;0;0
158;158;6;0;0;0;1;0;0;0;0;0
159;159;6;0;0;0;1;0;0;0;0;0
160;160;6;0;0;0;1;0;0;0;0;0
161;161;6;0;0;0;1;0;0;0;0;0
162;162;6;0;0;0;1;0;0;0;0;0
163;163;6;0;0;0;1;0;0;0;0;0
164;164;6;0;0;0;1;0;0;0;0;0
165;165;6;0;0;0;1;0;0;0;0;0
